word1,word2,label
packs,blacks',1
sheer,we're,1
lou,review,1
fix,conflicts,1
cos,boss',1
tomorrow,tobacco,1
biological,article,1
fur,we're,1
new,hugh,1
kay,usa,1
backed,contract,1
night,despite,1
flows,shows',1
straight,debate,1
der,we're,1
jeremy,hawaii,1
act,attacked,1
where,unfair,1
docs,stocks',1
bee,bbc,1
jose,display,1
outside,supplied,1
teen,machine,1
decade,they'd,1
displays,days',1
zoo,hugh,1
discrete,repeat,1
their,they're,1
mit,sri,1
stocks,stocks',1
dee,sri,1
mba,jay,1
company,hawaii,1
compare,repair,1
below,ceo,1
mood,include,1
three,nbc,1
ballet,usa,1
light,despite,1
illinois,destroy,1
checked,protect,1
jane,domain,1
screw,into,1
buy,shanghai,1
ethical,article,1
mix,conflicts,1
clear,we're,1
guru,overview,1
sphere,premier,1
chi,july,1
care,affair,1
green,machine,1
meyer,require,1
shoe,hugh,1
acute,pursuit,1
affair,declare,1
impact,attacked,1
folk,coke,1
tune,afternoon,1
flex,effects,1
sight,despite,1
oak,coke,1
flow,although,1
redeem,supreme,1
alphabetical,article,1
ecological,article,1
might,despite,1
dicke,rick,1
street,delete,1
taste,replaced,1
here,disappear,1
supply,sri,1
dean,vaccine,1
fair,compare,1
pee,bbc,1
whose,who's,1
quite,alright,1
flu,hugh,1
brain,jane,1
graphical,article,1
abstract,attacked,1
res,days',1
delay,cia,1
rows,shows',1
chevy,hawaii,1
between,machine,1
higher,acquire,1
wheat,compete,1
abc,apology,1
feb,military,1
geological,article,1
dna,jay,1
throw,although,1
shows,suppose,1
reviewed,include,1
pour,ignore,1
near,we're,1
soul,cole,1
creek,technique,1
combo,moscow,1
arcade,they'd,1
tax,attacks,1
white,tonight,1
damn,ma'am,1
pro,joe,1
pole,control,1
hughes,jews',1
overview,hindu,1
cum,become,1
mac,attack,1
deluxe,trucks',1
floor,before,1
amd,sri,1
dispute,pursuit,1
break,blake,1
monaco,tomorrow,1
aware,prayer,1
mpg,degree,1
complete,repeat,1
knee,bbc,1
pride,supplied,1
paste,replaced,1
guys,eyes',1
contain,ukraine,1
spare,o'hair,1
whole,control,1
raid,upgrade,1
vertical,article,1
statistical,article,1
was,because,1
tee,dvd,1
obtain,jane,1
blocks,stocks',1
concrete,repeat,1
tropical,article,1
rocks,stocks',1
square,unfair,1
hayes,days',1
air,declare,1
spas,because,1
grey,jose,1
they,nba,1
chevrolet,usa,1
phone,unknown,1
thereby,dubai,1
apply,thai,1
fee,ltd,1
christine,halloween,1
she,dvd,1
teacher,feature,1
suite,defeat,1
key,bbc,1
decide,i'd,1
choose,reviews,1
praise,displays,1
year,we're,1
nbc,degree,1
beam,extreme,1
psi,july,1
eat,complete,1
comply,thai,1
view,into,1
compaq,feedback,1
hole,control,1
parade,they'd,1
severe,appear,1
empirical,article,1
drum,become,1
bite,tonight,1
remain,insane,1
glow,although,1
lite,tonight,1
monroe,although,1
your,anymore,1
display,c'est,1
cry,thai,1
optical,article,1
fleet,delete,1
nest,depressed,1
ceo,joe,1
sox,stocks',1
knows,shows',1
applied,decide,1
dressed,southwest,1
thrown,don't,1
