word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
swing,"['S', 'W', 'IH', 'NG']",['swing'],['swing'],0.0,2.19e-05,"[31, 36, 10, 28, 0, 0, 0, 0]"
tip,"['T', 'IH', 'P']",['tip'],['tip'],0.0,3.55e-05,"[33, 10, 29, 0, 0, 0, 0, 0]"
mine,"['M', 'AY', 'N']",['mine'],['mine'],0.0,0.00011,"[26, 6, 27, 0, 0, 0, 0, 0]"
ladies,"['L', 'EY', 'D', 'IY', 'Z']",['ladies'],['ladies'],0.0,4.37e-05,"[25, 9, 18, 11, 38, 0, 0, 0]"
henry,"['HH', 'EH', 'N', 'R', 'IY']",['henry'],['henry'],0.0,5.5e-05,"[22, 7, 27, 30, 11, 0, 0, 0]"
guess,"['G', 'EH', 'S']",['guess'],['guess'],0.0,0.000148,"[21, 7, 31, 0, 0, 0, 0, 0]"
agreed,"['AH', 'G', 'R', 'IY', 'D']",['agreed'],['agreed'],0.0,6.92e-05,"[3, 21, 30, 11, 18, 0, 0, 0]"
whom,"['HH', 'UW', 'M']",['whom'],['whom'],0.0,7.08e-05,"[22, 15, 26, 0, 0, 0, 0, 0]"
sized,"['S', 'AY', 'Z', 'D']",['sized'],['sized'],0.0,1.86e-05,"[31, 6, 38, 18, 0, 0, 0, 0]"
manga,"['M', 'AE', 'NG', 'G', 'AH']",['manga'],['manga'],0.0,9.33e-06,"[26, 2, 28, 21, 3, 0, 0, 0]"
egg,"['EH', 'G']",['egg'],['egg'],0.0,2.88e-05,"[7, 21, 0, 0, 0, 0, 0, 0]"
caps,"['K', 'AE', 'P', 'S']",['caps'],['caps'],0.0,1.41e-05,"[24, 2, 29, 31, 0, 0, 0, 0]"
pill,"['P', 'IH', 'L']",['pill'],['pill'],0.0,1.07e-05,"[29, 10, 25, 0, 0, 0, 0, 0]"
theft,"['TH', 'EH', 'F', 'T']",['theft'],['theft'],0.0,1.35e-05,"[34, 7, 20, 33, 0, 0, 0, 0]"
childhood,"['CH', 'AY', 'L', 'D', 'HH', 'UH', 'D']","['child', 'hood']","['child', 'hood']",0.0,3.24e-05,"[17, 6, 25, 18, 22, 14, 18, 0]"
rings,"['R', 'IH', 'NG', 'Z']",['rings'],['rings'],0.0,2.14e-05,"[30, 10, 28, 38, 0, 0, 0, 0]"
lat,"['L', 'AA', 'T']",['lat'],['lat'],0.0,1.35e-06,"[25, 1, 33, 0, 0, 0, 0, 0]"
readily,"['R', 'EH', 'D', 'AH', 'L', 'IY']","['read', 'ily']","['read', 'ily']",0.0,8.51e-06,"[30, 7, 18, 3, 25, 11, 0, 0]"
fence,"['F', 'EH', 'N', 'S']",['fence'],['fence'],0.0,1.62e-05,"[20, 7, 27, 31, 0, 0, 0, 0]"
clan,"['K', 'L', 'AE', 'N']",['clan'],['clan'],0.0,9.33e-06,"[24, 25, 2, 27, 0, 0, 0, 0]"
legally,"['L', 'IY', 'G', 'AH', 'L', 'IY']","['leg', 'ally']","['leg', 'ally']",0.0,1.62e-05,"[25, 11, 21, 3, 25, 11, 0, 0]"
shame,"['SH', 'EY', 'M']",['shame'],['shame'],0.0,3.55e-05,"[32, 9, 26, 0, 0, 0, 0, 0]"
bracelets,"['B', 'R', 'EY', 'S', 'L', 'IH', 'T', 'S']","['brace', 'lets']","['brace', 'lets']",0.0,2.34e-06,"[16, 30, 9, 31, 25, 10, 33, 31]"
sync,"['S', 'IH', 'NG', 'K']",['sync'],['sync'],0.0,7.24e-06,"[31, 10, 28, 24, 0, 0, 0, 0]"
telephony,"['T', 'EH', 'L', 'AH', 'F', 'OW', 'N', 'IY']","['tele', 'phony']","['tele', 'phony']",0.0,7.76e-07,"[33, 7, 25, 3, 20, 12, 27, 11]"
mesa,"['M', 'EY', 'S', 'AH']",['mesa'],['mesa'],0.0,3.16e-06,"[26, 9, 31, 3, 0, 0, 0, 0]"
fatal,"['F', 'EY', 'T', 'AH', 'L']",['fatal'],['fatal'],0.0,1.26e-05,"[20, 9, 33, 3, 25, 0, 0, 0]"
ski,"['S', 'K', 'IY']",['ski'],['ski'],0.0,1.35e-05,"[31, 24, 11, 0, 0, 0, 0, 0]"
math,"['M', 'AE', 'TH']",['math'],['math'],0.0,2.82e-05,"[26, 2, 34, 0, 0, 0, 0, 0]"
christ,"['K', 'R', 'AY', 'S', 'T']",['christ'],['christ'],0.0,6.17e-05,"[24, 30, 6, 31, 33, 0, 0, 0]"
sur,"['S', 'ER']",['sur'],['sur'],0.0,5.01e-06,"[31, 8, 0, 0, 0, 0, 0, 0]"
writer,"['R', 'AY', 'T', 'ER']",['writer'],['writer'],0.0,4.9e-05,"[30, 6, 33, 8, 0, 0, 0, 0]"
fans,"['F', 'AE', 'N', 'Z']",['fans'],['fans'],0.0,0.000107,"[20, 2, 27, 38, 0, 0, 0, 0]"
oklahoma,"['OW', 'K', 'L', 'AH', 'HH', 'OW', 'M', 'AH']","['ok', 'lahoma']","['ok', 'lahoma']",0.0,1.86e-05,"[12, 24, 25, 3, 22, 12, 26, 3]"
meta,"['M', 'IY', 'T', 'AH']",['meta'],['meta'],0.0,5.5e-06,"[26, 11, 33, 3, 0, 0, 0, 0]"
dated,"['D', 'EY', 'T', 'IH', 'D']",['dated'],['dated'],0.0,1.95e-05,"[18, 9, 33, 10, 18, 0, 0, 0]"
seeker,"['S', 'IY', 'K', 'ER']",['seeker'],['seeker'],0.0,2.57e-06,"[31, 11, 24, 8, 0, 0, 0, 0]"
shoot,"['SH', 'UW', 'T']",['shoot'],['shoot'],0.0,5.37e-05,"[32, 15, 33, 0, 0, 0, 0, 0]"
mint,"['M', 'IH', 'N', 'T']",['mint'],['mint'],0.0,8.32e-06,"[26, 10, 27, 33, 0, 0, 0, 0]"
packard,"['P', 'AE', 'K', 'ER', 'D']","['pack', 'ard']","['pack', 'ard']",0.0,1.91e-06,"[29, 2, 24, 8, 18, 0, 0, 0]"
payday,"['P', 'EY', 'D', 'EY']","['pay', 'day']","['pay', 'day']",0.0,4.07e-06,"[29, 9, 18, 9, 0, 0, 0, 0]"
elite,"['IH', 'L', 'IY', 'T']",['elite'],['elite'],0.0,2.51e-05,"[10, 25, 11, 33, 0, 0, 0, 0]"
spin,"['S', 'P', 'IH', 'N']",['spin'],['spin'],0.0,2.4e-05,"[31, 29, 10, 27, 0, 0, 0, 0]"
equipped,"['IH', 'K', 'W', 'IH', 'P', 'T']",['equipped'],['equipped'],0.0,1.91e-05,"[10, 24, 36, 10, 29, 33, 0, 0]"
stages,"['S', 'T', 'EY', 'JH', 'AH', 'Z']",['stages'],['stages'],0.0,2.69e-05,"[31, 33, 9, 23, 3, 38, 0, 0]"
dan,"['D', 'AE', 'N']",['dan'],['dan'],0.0,3.24e-05,"[18, 2, 27, 0, 0, 0, 0, 0]"
drink,"['D', 'R', 'IH', 'NG', 'K']",['drink'],['drink'],0.0,7.94e-05,"[18, 30, 10, 28, 24, 0, 0, 0]"
academy,"['AH', 'K', 'AE', 'D', 'AH', 'M', 'IY']",['academy'],['academy'],0.0,3.72e-05,"[3, 24, 2, 18, 3, 26, 11, 0]"
gender,"['JH', 'EH', 'N', 'D', 'ER']",['gender'],['gender'],0.0,3.89e-05,"[23, 7, 27, 18, 8, 0, 0, 0]"
