word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
towns,"['T', 'AW', 'N', 'Z']",['towns'],['towns'],0.0,2.45e-05,"[33, 5, 27, 38, 0, 0, 0, 0]"
carter,"['K', 'AA', 'R', 'T', 'ER']",['carter'],['carter'],0.0,2.24e-05,"[24, 1, 30, 33, 8, 0, 0, 0]"
eve,"['IY', 'V']",['eve'],['eve'],0.0,2.09e-05,"[11, 35, 0, 0, 0, 0, 0, 0]"
worry,"['W', 'ER', 'IY']",['worry'],['worry'],0.0,6.92e-05,"[36, 8, 11, 0, 0, 0, 0, 0]"
hearts,"['HH', 'AA', 'R', 'T', 'S']",['hearts'],['hearts'],0.0,2.75e-05,"[22, 1, 30, 33, 31, 0, 0, 0]"
makers,"['M', 'EY', 'K', 'ER', 'Z']",['makers'],['makers'],0.0,1.45e-05,"[26, 9, 24, 8, 38, 0, 0, 0]"
odds,"['AA', 'D', 'Z']",['odds'],['odds'],0.0,1.91e-05,"[1, 18, 38, 0, 0, 0, 0, 0]"
cyprus,"['S', 'AY', 'P', 'R', 'AH', 'S']",['cyprus'],['cyprus'],0.0,5.13e-06,"[31, 6, 29, 30, 3, 31, 0, 0]"
emails,"['IY', 'M', 'EY', 'L', 'Z']",['emails'],['emails'],0.0,1.74e-05,"[11, 26, 9, 25, 38, 0, 0, 0]"
wise,"['W', 'AY', 'Z']",['wise'],['wise'],0.0,3.24e-05,"[36, 6, 38, 0, 0, 0, 0, 0]"
marc,"['M', 'AA', 'R', 'K']",['marc'],['marc'],0.0,1.07e-05,"[26, 1, 30, 24, 0, 0, 0, 0]"
weak,"['W', 'IY', 'K']",['weak'],['weak'],0.0,4.57e-05,"[36, 11, 24, 0, 0, 0, 0, 0]"
patches,"['P', 'AE', 'CH', 'AH', 'Z']",['patches'],['patches'],0.0,7.24e-06,"[29, 2, 17, 3, 38, 0, 0, 0]"
clay,"['K', 'L', 'EY']",['clay'],['clay'],0.0,1.95e-05,"[24, 25, 9, 0, 0, 0, 0, 0]"
laid,"['L', 'EY', 'D']",['laid'],['laid'],0.0,3.63e-05,"[25, 9, 18, 0, 0, 0, 0, 0]"
sight,"['S', 'AY', 'T']",['sight'],['sight'],0.0,3.47e-05,"[31, 6, 33, 0, 0, 0, 0, 0]"
tones,"['T', 'OW', 'N', 'Z']",['tones'],['tones'],0.0,5.75e-06,"[33, 12, 27, 38, 0, 0, 0, 0]"
nancy,"['N', 'AE', 'N', 'S', 'IY']",['nancy'],['nancy'],0.0,1.38e-05,"[27, 2, 27, 31, 11, 0, 0, 0]"
sole,"['S', 'OW', 'L']",['sole'],['sole'],0.0,1.95e-05,"[31, 12, 25, 0, 0, 0, 0, 0]"
johnny,"['JH', 'AA', 'N', 'IY']",['johnny'],['johnny'],0.0,2.24e-05,"[23, 1, 27, 11, 0, 0, 0, 0]"
pad,"['P', 'AE', 'D']",['pad'],['pad'],0.0,1.02e-05,"[29, 2, 18, 0, 0, 0, 0, 0]"
silk,"['S', 'IH', 'L', 'K']",['silk'],['silk'],0.0,1.29e-05,"[31, 10, 25, 24, 0, 0, 0, 0]"
cuba,"['K', 'Y', 'UW', 'B', 'AH']",['cuba'],['cuba'],0.0,1.35e-05,"[24, 37, 15, 16, 3, 0, 0, 0]"
fault,"['F', 'AO', 'L', 'T']",['fault'],['fault'],0.0,4.37e-05,"[20, 4, 25, 33, 0, 0, 0, 0]"
saudi,"['S', 'AO', 'D', 'IY']",['saudi'],['saudi'],0.0,2.04e-05,"[31, 4, 18, 11, 0, 0, 0, 0]"
rod,"['R', 'AA', 'D']",['rod'],['rod'],0.0,1.38e-05,"[30, 1, 18, 0, 0, 0, 0, 0]"
overnight,"['OW', 'V', 'ER', 'N', 'AY', 'T']",['overnight'],['overnight'],0.0,1.55e-05,"[12, 35, 8, 27, 6, 33, 0, 0]"
versus,"['V', 'ER', 'S', 'AH', 'S']",['versus'],['versus'],0.0,2.09e-05,"[35, 8, 31, 3, 31, 0, 0, 0]"
billing,"['B', 'IH', 'L', 'IH', 'NG']",['billing'],['billing'],0.0,3.89e-06,"[16, 10, 25, 10, 28, 0, 0, 0]"
glory,"['G', 'L', 'AO', 'R', 'IY']",['glory'],['glory'],0.0,2.29e-05,"[21, 25, 4, 30, 11, 0, 0, 0]"
amp,"['AE', 'M', 'P']",['amp'],['amp'],0.0,6.31e-06,"[2, 26, 29, 0, 0, 0, 0, 0]"
leaf,"['L', 'IY', 'F']",['leaf'],['leaf'],0.0,1.66e-05,"[25, 11, 20, 0, 0, 0, 0, 0]"
sons,"['S', 'AH', 'N', 'Z']",['sons'],['sons'],0.0,3.16e-05,"[31, 3, 27, 38, 0, 0, 0, 0]"
roles,"['R', 'OW', 'L', 'Z']",['roles'],['roles'],0.0,2.75e-05,"[30, 12, 25, 38, 0, 0, 0, 0]"
reads,"['R', 'IY', 'D', 'Z']",['reads'],['reads'],0.0,1.78e-05,"[30, 11, 18, 38, 0, 0, 0, 0]"
phrase,"['F', 'R', 'EY', 'Z']",['phrase'],['phrase'],0.0,2e-05,"[20, 30, 9, 38, 0, 0, 0, 0]"
widely,"['W', 'AY', 'D', 'L', 'IY']",['widely'],['widely'],0.0,3.47e-05,"[36, 6, 18, 25, 11, 0, 0, 0]"
danger,"['D', 'EY', 'N', 'JH', 'ER']",['danger'],['danger'],0.0,3.89e-05,"[18, 9, 27, 23, 8, 0, 0, 0]"
pleased,"['P', 'L', 'IY', 'Z', 'D']",['pleased'],['pleased'],0.0,2.75e-05,"[29, 25, 11, 38, 18, 0, 0, 0]"
