word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
flashers,"['F', 'L', 'AE', 'SH', 'ER', 'Z']","['flash', 'ers']","['flash', 'ers']",0.0,9.77e-08,"[20, 25, 2, 32, 8, 38, 0, 0]"
lexmark,"['L', 'EH', 'K', 'S', 'M', 'AA', 'R', 'K']","['lex', 'mark']","['lex', 'mark']",0.0,1.23e-07,"[25, 7, 24, 31, 26, 1, 30, 24]"
shareware,"['SH', 'EH', 'R', 'W', 'EH', 'R']","['share', 'ware']","['share', 'ware']",0.0,1.91e-07,"[32, 7, 30, 36, 7, 30, 0, 0]"
minolta,"['M', 'IH', 'N', 'AA', 'L', 'T', 'AH']","['min', 'olta']","['min', 'olta']",0.0,2.14e-07,"[26, 10, 27, 1, 25, 33, 3, 0]"
housewares,"['HH', 'AW', 'S', 'W', 'EH', 'R', 'Z']","['house', 'wares']","['house', 'wares']",0.0,2.34e-07,"[22, 5, 31, 36, 7, 30, 38, 0]"
disclaimers,"['D', 'IH', 'S', 'K', 'L', 'EY', 'M', 'ER', 'Z']","['dis', 'claim', 'ers']","['dis', 'claim', 'ers']",0.0,2.82e-07,"[18, 10, 31, 24, 25, 9, 26, 8]"
cached,"['K', 'AE', 'SH', 'T']",['cached'],['cached'],0.0,3.98e-07,"[24, 2, 32, 33, 0, 0, 0, 0]"
adaptor,"['AH', 'D', 'AE', 'P', 'T', 'ER']","['ad', 'aptor']","['ad', 'aptor']",0.0,4.37e-07,"[3, 18, 2, 29, 33, 8, 0, 0]"
netscape,"['N', 'EH', 'T', 'S', 'K', 'EY', 'P']","['nets', 'cape']","['nets', 'cape']",0.0,4.37e-07,"[27, 7, 33, 31, 24, 9, 29, 0]"
thinkpad,"['TH', 'IH', 'NG', 'K', 'P', 'AE', 'D']","['think', 'pad']","['think', 'pad']",0.0,4.57e-07,"[34, 10, 28, 24, 29, 2, 18, 0]"
bestsellers,"['B', 'EH', 'S', 'T', 'S', 'EH', 'L', 'ER', 'Z']","['best', 'sellers']","['best', 's', 'ellers']",0.09090909090909091,5.13e-07,"[16, 7, 31, 33, 31, 7, 25, 8]"
conferencing,"['K', 'AA', 'N', 'F', 'R', 'AH', 'N', 'S', 'IH', 'NG']","['con', 'fer', 'en', 'cing']","['con', 'fer', 'encing']",0.08333333333333333,5.25e-07,"[24, 1, 27, 20, 30, 3, 27, 31]"
cordless,"['K', 'AO', 'R', 'D', 'L', 'AH', 'S']","['cord', 'less']","['cord', 'less']",0.0,5.37e-07,"[24, 4, 30, 18, 25, 3, 31, 0]"
pix,"['P', 'IH', 'K', 'S']",['pix'],['pix'],0.0,5.62e-07,"[29, 10, 24, 31, 0, 0, 0, 0]"
bookmarks,"['B', 'UH', 'K', 'M', 'AA', 'R', 'K', 'S']","['book', 'marks']","['book', 'marks']",0.0,6.46e-07,"[16, 14, 24, 26, 1, 30, 24, 31]"
mpeg,"['EH', 'M', 'P', 'EH', 'G']",['mpeg'],['mpeg'],0.0,6.61e-07,"[7, 26, 29, 7, 21, 0, 0, 0]"
airfare,"['EH', 'R', 'F', 'EH', 'R']","['air', 'fare']","['air', 'fare']",0.0,6.76e-07,"[7, 30, 20, 7, 30, 0, 0, 0]"
adapters,"['AH', 'D', 'AE', 'P', 'T', 'ER', 'Z']","['ad', 'apters']","['ad', 'apters']",0.0,7.24e-07,"[3, 18, 2, 29, 33, 8, 38, 0]"
mailman,"['M', 'EY', 'L', 'M', 'AE', 'N']","['mail', 'man']","['mail', 'man']",0.0,7.59e-07,"[26, 9, 25, 26, 2, 27, 0, 0]"
telephony,"['T', 'EH', 'L', 'AH', 'F', 'OW', 'N', 'IY']","['tele', 'phony']","['tele', 'phony']",0.0,7.76e-07,"[33, 7, 25, 3, 20, 12, 27, 11]"
deutschland,"['D', 'OY', 'CH', 'L', 'AE', 'N', 'D']","['deutsch', 'land']","['de', 'utsch', 'land']",0.09090909090909091,8.32e-07,"[18, 13, 17, 25, 2, 27, 18, 0]"
printable,"['P', 'R', 'IH', 'N', 'T', 'AH', 'B', 'AH', 'L']","['print', 'able']","['print', 'able']",0.0,8.32e-07,"[29, 30, 10, 27, 33, 3, 16, 3]"
newsletters,"['N', 'UW', 'Z', 'L', 'EH', 'T', 'ER', 'Z']","['news', 'let', 'ters']","['news', 'letters']",0.09090909090909091,8.71e-07,"[27, 15, 38, 25, 7, 33, 8, 38]"
gratis,"['G', 'R', 'AE', 'T', 'AH', 'S']",['gratis'],['gratis'],0.0,8.71e-07,"[21, 30, 2, 33, 3, 31, 0, 0]"
boolean,"['B', 'UW', 'L', 'IY', 'AH', 'N']",['boolean'],['boolean'],0.0,8.91e-07,"[16, 15, 25, 11, 3, 27, 0, 0]"
perl,"['P', 'ER', 'L']",['perl'],['perl'],0.0,9.33e-07,"[29, 8, 25, 0, 0, 0, 0, 0]"
transsexual,"['T', 'R', 'AE', 'N', 'S', 'EH', 'K', 'SH', 'Y', 'UW', 'AH', 'L']","['trans', 'sexu', 'al']","['trans', 'sexual']",0.09090909090909091,9.77e-07,"[33, 30, 2, 27, 31, 7, 24, 32]"
snowboard,"['S', 'N', 'OW', 'B', 'AO', 'R', 'D']","['snow', 'board']","['snow', 'board']",0.0,1.02e-06,"[31, 27, 12, 16, 4, 30, 18, 0]"
ericsson,"['EH', 'R', 'IH', 'K', 'S', 'AH', 'N']","['eric', 'sson']","['eric', 'sson']",0.0,1.05e-06,"[7, 30, 10, 24, 31, 3, 27, 0]"
grenada,"['G', 'R', 'IH', 'N', 'EY', 'D', 'AH']","['gren', 'ada']","['gren', 'ada']",0.0,1.05e-06,"[21, 30, 10, 27, 9, 18, 3, 0]"
erotica,"['IH', 'R', 'AA', 'T', 'IH', 'K', 'AH']","['erot', 'ica']","['erot', 'ica']",0.0,1.05e-06,"[10, 30, 1, 33, 10, 24, 3, 0]"
paintball,"['P', 'EY', 'N', 'T', 'B', 'AA', 'L']","['paint', 'ball']","['paint', 'ball']",0.0,1.07e-06,"[29, 9, 27, 33, 16, 1, 25, 0]"
reprints,"['R', 'IY', 'P', 'R', 'IH', 'N', 'T', 'S']","['re', 'prints']","['re', 'prints']",0.0,1.07e-06,"[30, 11, 29, 30, 10, 27, 33, 31]"
gnu,"['N', 'UW']",['gnu'],['gnu'],0.0,1.1e-06,"[27, 15, 0, 0, 0, 0, 0, 0]"
ata,"['AA', 'T', 'AH']",['ata'],['ata'],0.0,1.1e-06,"[1, 33, 3, 0, 0, 0, 0, 0]"
workstation,"['W', 'ER', 'K', 'S', 'T', 'EY', 'SH', 'AH', 'N']","['work', 'sta', 'tion']","['work', 'station']",0.09090909090909091,1.1e-06,"[36, 8, 24, 31, 33, 9, 32, 3]"
asp,"['AE', 'S', 'P']",['asp'],['asp'],0.0,1.12e-06,"[2, 31, 29, 0, 0, 0, 0, 0]"
lambda,"['L', 'AE', 'M', 'D', 'AH']",['lambda'],['lambda'],0.0,1.15e-06,"[25, 2, 26, 18, 3, 0, 0, 0]"
sie,"['S', 'IY']",['sie'],['sie'],0.0,1.15e-06,"[31, 11, 0, 0, 0, 0, 0, 0]"
mime,"['M', 'AY', 'M']",['mime'],['mime'],0.0,1.15e-06,"[26, 6, 26, 0, 0, 0, 0, 0]"
lolita,"['L', 'OW', 'L', 'IY', 'T', 'AH']","['lol', 'ita']","['lol', 'ita']",0.0,1.17e-06,"[25, 12, 25, 11, 33, 3, 0, 0]"
goto,"['G', 'OW', 'T', 'UW']",['goto'],['goto'],0.0,1.17e-06,"[21, 12, 33, 15, 0, 0, 0, 0]"
televisions,"['T', 'EH', 'L', 'AH', 'V', 'IH', 'ZH', 'AH', 'N', 'Z']","['tele', 'vi', 'sions']","['tele', 'visions']",0.09090909090909091,1.2e-06,"[33, 7, 25, 3, 35, 10, 39, 3]"
