word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
vacuum,"['V', 'AE', 'K', 'Y', 'UW', 'M']","['va', 'cu', 'um']","['v', 'ac', 'uum']",0.6666666666666666,1.23e-05,"[35, 2, 24, 37, 15, 26, 0, 0]"
julian,"['JH', 'UW', 'L', 'IY', 'AH', 'N']","['ju', 'li', 'an']","['j', 'ul', 'ian']",0.6666666666666666,9.77e-06,"[23, 15, 25, 11, 3, 27, 0, 0]"
zimbabwe,"['Z', 'IH', 'M', 'B', 'AA', 'B', 'W', 'EY']","['zi', 'm', 'b', 'ab', 'we']","['z', 'imbabwe']",0.625,5.37e-06,"[38, 10, 26, 16, 1, 16, 36, 9]"
slovenia,"['S', 'L', 'OW', 'V', 'IY', 'N', 'IY', 'AH']","['slov', 'e', 'nia']","['s', 'lo', 'ven', 'ia']",0.625,2.57e-06,"[31, 25, 12, 35, 11, 27, 11, 3]"
jesus,"['JH', 'IY', 'Z', 'AH', 'S']","['je', 'sus']","['j', 'es', 'us']",0.6,9.77e-05,"[23, 11, 38, 3, 31, 0, 0, 0]"
cubic,"['K', 'Y', 'UW', 'B', 'IH', 'K']","['cu', 'bic']","['c', 'ub', 'ic']",0.6,5.13e-06,"[24, 37, 15, 16, 10, 24, 0, 0]"
sudan,"['S', 'UW', 'D', 'AE', 'N']","['su', 'dan']","['s', 'ud', 'an']",0.6,7.94e-06,"[31, 15, 18, 2, 27, 0, 0, 0]"
julie,"['JH', 'UW', 'L', 'IY']","['ju', 'lie']","['j', 'ul', 'ie']",0.6,1.23e-05,"[23, 15, 25, 11, 0, 0, 0, 0]"
lucia,"['L', 'UW', 'SH', 'AH']","['lu', 'cia']","['l', 'uc', 'ia']",0.6,2.82e-06,"[25, 15, 32, 3, 0, 0, 0, 0]"
lucas,"['L', 'UW', 'K', 'AH', 'S']","['lu', 'cas']","['l', 'uc', 'as']",0.6,1.23e-05,"[25, 15, 24, 3, 31, 0, 0, 0]"
tumor,"['T', 'UW', 'M', 'ER']","['tu', 'mor']","['t', 'um', 'or']",0.6,9.33e-06,"[33, 15, 26, 8, 0, 0, 0, 0]"
encyclopedia,"['IH', 'N', 'S', 'AY', 'K', 'L', 'AH', 'P', 'IY', 'D', 'IY', 'AH']","['en', 'cyc', 'lo', 'pe', 'dia']","['ency', 'cl', 'op', 'edia']",0.5833333333333334,3.31e-06,"[10, 27, 31, 6, 24, 25, 3, 29]"
courier,"['K', 'ER', 'IY', 'ER']","['cour', 'i', 'er']","['c', 'ou', 'rier']",0.5714285714285714,4.79e-06,"[24, 8, 11, 8, 0, 0, 0, 0]"
satisfy,"['S', 'AE', 'T', 'AH', 'S', 'F', 'AY']","['sat', 'is', 'fy']","['s', 'atisf', 'y']",0.5714285714285714,9.55e-06,"[31, 2, 33, 3, 31, 20, 6, 0]"
pioneer,"['P', 'AY', 'AH', 'N', 'IH', 'R']","['pi', 'on', 'eer']","['p', 'ione', 'er']",0.5714285714285714,8.13e-06,"[29, 6, 3, 27, 10, 30, 0, 0]"
antigua,"['AE', 'N', 'T', 'IY', 'G', 'W', 'AH']","['an', 'ti', 'gua']","['ant', 'ig', 'ua']",0.5714285714285714,1.2e-06,"[2, 27, 33, 11, 21, 36, 3, 0]"
nigeria,"['N', 'AY', 'JH', 'IH', 'R', 'IY', 'AH']","['ni', 'ger', 'ia']","['n', 'ig', 'eria']",0.5714285714285714,2.14e-05,"[27, 6, 23, 10, 30, 11, 3, 0]"
amplifier,"['AE', 'M', 'P', 'L', 'AH', 'F', 'AY', 'ER']","['amp', 'li', 'fi', 'er']","['am', 'pl', 'ifier']",0.5555555555555556,2.82e-06,"[2, 26, 29, 25, 3, 20, 6, 8]"
hypothesis,"['HH', 'AY', 'P', 'AA', 'TH', 'AH', 'S', 'AH', 'S']","['hy', 'po', 'thes', 'is']","['hyp', 'ot', 'hesis']",0.5,7.41e-06,"[22, 6, 29, 1, 34, 3, 31, 3]"
median,"['M', 'IY', 'D', 'IY', 'AH', 'N']","['me', 'di', 'an']","['med', 'ian']",0.5,1.12e-05,"[26, 11, 18, 11, 3, 27, 0, 0]"
