word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
wagner,"['W', 'AE', 'G', 'N', 'ER']","['wag', 'n', 'er']","['w', 'agner']",0.5,5.13e-06,"[36, 2, 21, 27, 8, 0, 0, 0]"
hypothetical,"['HH', 'AY', 'P', 'AH', 'TH', 'EH', 'T', 'AH', 'K', 'AH', 'L']","['hy', 'po', 'thet', 'ic', 'al']","['hyp', 'othe', 'tical']",0.5,4.07e-06,"[22, 6, 29, 3, 34, 7, 33, 3]"
cambodia,"['K', 'AE', 'M', 'B', 'OW', 'D', 'IY', 'AH']","['cam', 'bod', 'ia']","['ca', 'mbo', 'dia']",0.5,5.13e-06,"[24, 2, 26, 16, 12, 18, 11, 3]"
saddam,"['S', 'AA', 'D', 'AH', 'M']","['sad', 'dam']","['s', 'add', 'am']",0.5,2.75e-06,"[31, 1, 18, 3, 26, 0, 0, 0]"
iraq,"['IH', 'R', 'AA', 'K']","['ir', 'aq']","['ira', 'q']",0.5,2.69e-05,"[10, 30, 1, 24, 0, 0, 0, 0]"
securities,"['S', 'IH', 'K', 'Y', 'UH', 'R', 'AH', 'T', 'IY', 'Z']","['se', 'cur', 'it', 'ies']","['secu', 'ri', 'ties']",0.5,1.74e-05,"[31, 10, 24, 37, 14, 30, 3, 33]"
radios,"['R', 'EY', 'D', 'IY', 'OW', 'Z']","['ra', 'di', 'os']","['rad', 'ios']",0.5,2.57e-06,"[30, 9, 18, 11, 12, 38, 0, 0]"
arabia,"['ER', 'EY', 'B', 'IY', 'AH']","['ar', 'a', 'bia']","['arab', 'ia']",0.5,1.32e-05,"[8, 9, 16, 11, 3, 0, 0, 0]"
computational,"['K', 'AA', 'M', 'P', 'Y', 'UW', 'T', 'EY', 'SH', 'AH', 'N', 'AH', 'L']","['com', 'pu', 'ta', 'tion', 'al']","['comp', 'ut', 'ational']",0.46153846153846156,4.17e-06,"[24, 1, 26, 29, 37, 15, 33, 9]"
editorial,"['EH', 'D', 'AH', 'T', 'AO', 'R', 'IY', 'AH', 'L']","['ed', 'it', 'or', 'i', 'al']",['editorial'],0.4444444444444444,1.29e-05,"[7, 18, 3, 33, 4, 30, 11, 3]"
