word1,word2,label
tricks,rix,1
libraries,portuguese,1
sale,mcphail,1
tight,brite,1
finite,fahrenheit,1
votes,notes',1
keep,heape,1
worry,urie,1
picks,rix,1
thumb,bluhm,1
studio,robideau,1
notify,amitai,1
guaranteed,cede,1
regime,priem,1
sue,kazoo,1
sorts,shorts',1
highs,bise,1
phil,demille,1
clarke,quark,1
view,kyu,1
hans,yonce,1
connecticut,silicate,1
asset,videocassette,1
fool,jule,1
raid,jade,1
fine,bodenstein,1
release,yeas,1
ban,kanne,1
nba,strey,1
hole,kohl,1
tail,mayle,1
pee,phd,1
offshore,boar,1
designs,mines',1
clear,revere,1
immune,loon,1
chile,shiley,1
mentor,americorps,1
brunette,jfet,1
crew,giroux,1
mali,collie,1
rotary,gregorie,1
connectivity,steketee,1
guatemala,adalah,1
locate,clickbait,1
rack,dulac,1
clicks,wix,1
coat,mote,1
rarely,fairlie,1
green,madelene,1
deny,kyi,1
debt,chenette,1
digest,digressed,1
strain,decrane,1
desire,fryar,1
venice,vincennes,1
mines,lines',1
symantec,dynatech,1
delight,reunite,1
mercury,patrie,1
whole,foal,1
hindu,yahoo,1
portfolio,gameshow,1
buy,skye,1
knee,beaudry,1
gen,madeleine,1
obtain,elaine,1
lolita,cheetah,1
adelaide,kitchenaid,1
luxury,patrie,1
rep,steppe,1
sleep,lepe,1
ron,christianne,1
aaa,francais,1
nude,imbued,1
rock,stocke,1
participate,airfreight,1
tongue,tung,1
suit,crute,1
where,schehr,1
little,kittel,1
chassis,bassi,1
theatre,orator,1
police,yeas,1
keen,philene,1
become,schrum,1
ascii,lasky,1
deadline,bartlestein,1
shareware,markair,1
battery,audrie,1
juan,christiane,1
labor,sabre,1
gray,mba,1
tree,aujourd'hui,1
medicine,diocesan,1
atmospheric,erich,1
prize,wies,1
clara,zarah,1
newbie,nabi,1
treasury,coterie,1
analyses,portuguese,1
ware,pentair,1
diary,rotisserie,1
feb,statuary,1
simplified,parkside,1
andorra,torah,1
satellite,cartwright,1
spotlight,cryolite,1
photos,montrose,1
mike,weich,1
rely,gyi,1
norway,mangope,1
cheese,nominee's,1
puerto,aloe,1
two,ballou,1
ash,asche,1
sea,cbc,1
praise,mayes,1
excuse,zeus,1
restore,oar,1
taxi,laxey,1
humanity,steketee,1
some,bluhm,1
agrees,trapeze,1
pack,brakke,1
engineer,we're,1
peru,schue,1
evaluate,clickbait,1
impose,rowe's,1
though,dufault,1
prepare,abair,1
workplace,aftertastes,1
activity,steketee,1
reed,stampede,1
cafe,lei,1
indices,headcheese,1
interview,khufu,1
bangkok,gohlke,1
secure,moor,1
moon,mccune,1
shadow,duro,1
von,terrebonne,1
rows,blose,1
exceed,gaede,1
allied,mcbride,1
zone,schoen,1
mail,valle,1
displayed,mcquade,1
protein,undine,1
overnight,riunite,1
quotes,notes',1
guys,bise,1
delhi,mcnelly,1
dial,lisle,1
photograph,riffraff,1
pens,cleanse,1
follow,pangallo,1
mechanical,cuticle,1
pins,twins',1
ref,jeffe,1
highlight,kilobyte,1
strict,pricked,1
street,excrete,1
highways,ukase,1
per,pere,1
rest,unaddressed,1
zoo,herscu,1
customize,verifies,1
chronicle,encyclical,1
laugh,chaff,1
investigate,airfreight,1
cleaner,orangina,1
lance,schanz,1
concrete,vanvliet,1
website,conkright,1
nest,neste,1
determine,sterman,1
yamaha,coleslaw,1
league,greig,1
allah,bangala,1
neil,steele,1
fan,rosanne,1
mumbai,fye,1
whereas,chazz,1
cherry,eyrie,1
loose,nous,1
sites,seitz,1
seal,thiele,1
freeze,threes,1
missed,vist,1
bicycle,helical,1
identical,demichele,1
juvenile,coeducational,1
uni,cooney,1
era,farah,1
dies,guys',1
filled,childe,1
cute,thuot,1
zen,yene,1
cradle,badal,1
induced,ruest,1
lady,haidee,1
food,prude,1
may,hefei,1
identity,stogie,1
anyway,poitier,1
spray,pei,1
budapest,unprocessed,1
jerry,arie,1
dryer,why're,1
sec,labrecque,1
those,noes,1
perfume,loom,1
thursday,inouye,1
compatibility,licausi,1
meta,cheetah,1
load,moede,1
chose,forgoes,1
wrote,vogt,1
role,stohl,1
butterfly,dalai,1
intel,zelle,1
burke,purk,1
sic,schick,1
aware,traer,1
throws,shows',1
bouquet,uva,1
mit,aujourd'hui,1
gnu,theroux,1
alone,mazon,1
motel,vandaele,1
track,jac,1
hungary,gregorie,1
hardware,wardair,1
queen,keane,1
phi,retry,1
snow,bourgault,1
los,boese,1
ali,collie,1
pan,thanh,1
dvds,wiese,1
pete,piet,1
spice,weis,1
ray,zepa,1
pale,macphail,1
tomato,bungalow,1
mine,pruyn,1
raise,cliches,1
paperbacks,rothwax,1
mix,licks,1
cock,stokke,1
shoot,lute,1
inns,skins',1
uri,urey,1
stack,braque,1
dui,wrye,1
borough,marzotto,1
qatar,delebarre,1
dynamic,amick,1
high,fbi,1
welfare,sportswear,1
historical,demichele,1
munich,tunic,1
shore,rohr,1
glow,gaudreau,1
soviet,roseate,1
prairie,sheri,1
fresh,lafleche,1
audi,claudie,1
